The following data is for initial velocity of 100.00ms and Error of ±11.00% 
Theta	Displacment
1	35.433658
2	71.179344
3	106.659267
4	142.007658
5	177.180935
6	212.135735
7	246.828969
8	281.217875
9	315.260073
10	348.913615
11	382.137043
12	414.889436
13	447.130462
14	478.820429
15	509.767892
16	540.242912
17	570.052330
18	599.159496
19	627.528643
20	655.124924
21	681.914461
22	707.864384
23	732.942874
24	757.119200
25	780.363762
26	802.648122
27	823.945042
28	844.228522
29	863.473823
30	881.657507
31	898.757460
32	914.824258
33	929.689899
34	943.413602
35	955.978822
36	967.370457
37	977.574869
38	986.579902
39	994.374893
40	1000.950686
41	1006.299647
42	1010.415666
43	1013.294169
44	1014.932123
45	1015.328035
46	1014.481961
47	1012.395495
48	1009.071775
49	1004.515476
50	998.732799
51	991.731470
52	983.520724
53	974.111294
54	963.515398
55	951.746723
56	938.820405
57	924.753012
58	909.562519
59	893.268289
60	875.891045
61	857.452845
62	838.087344
63	817.603508
64	796.132446
65	773.701247
66	750.338174
67	726.072632
68	700.935129
69	674.957236
70	648.171547
71	620.611639
72	592.312031
73	563.308132
74	533.636208
75	503.333324
76	472.437306
77	440.986688
78	409.020667
79	376.579050
80	343.702204
81	310.431007
82	276.806797
83	242.871315
84	208.666657
85	174.235222
86	139.619653
87	104.862788
88	70.007605
89	35.097167
Average of this data is: 652.985493
