The following data is for initial velocity of 100.00ms and Error of ±0.0% 
Theta	Displacment
1	35.609887
2	71.176389
3	106.656174
4	142.006014
5	177.182842
6	212.143800
7	246.846294
8	281.248043
9	315.307135
10	348.982074
11	382.231831
12	415.015899
13	447.294333
14	479.027808
15	510.177661
16	540.705942
17	570.575455
18	599.749811
19	628.193463
20	655.871759
21	682.750976
22	708.798366
23	733.982194
24	758.271778
25	781.637525
26	804.050967
27	825.484796
28	845.912900
29	865.310389
30	883.653630
31	900.920276
32	917.089289
33	932.140970
34	946.056981
35	958.820367
36	970.415578
37	980.828488
38	990.046409
39	998.058110
40	1004.853832
41	1010.425294
42	1014.765709
43	1017.869788
44	1019.733749
45	1020.355322
46	1019.733749
47	1017.869788
48	1014.765709
49	1010.425294
50	1004.853832
51	998.058110
52	990.046408
53	980.828487
54	970.415578
55	958.820367
56	946.056981
57	932.140970
58	917.089289
59	900.920276
60	883.653630
61	865.310388
62	845.912899
63	825.484796
64	804.050966
65	781.637524
66	758.271778
67	733.982194
68	708.798365
69	682.750975
70	655.871758
71	628.193463
72	599.749810
73	570.575455
74	540.705941
75	510.177661
76	479.027807
77	447.294332
78	415.015898
79	382.231831
80	348.982073
81	315.307135
82	281.248043
83	246.846293
84	212.143800
85	177.182842
86	142.006014
87	106.656173
88	71.176389
89	35.609887
